หมวด,รหัสสินค้า,เมนู/สาขา,HB01-ลาดพร้าว107,HB02-สามย่าน,HB03-นวมินทร์111,HB04-สะพานควาย,หมายเหตุ
Matcha Classic เมนูพิเศษเลือกสายพันธ์,HBC01M08C,Classic Clear Matcha Gyokuro Yame,,,,,
,HBC01M04C,Classic Clear Matcha Uji Samidori,,,,,
,HBC01M03C,Classic Clear Matcha Uji Kazen,,,,,
,HBC01M06C,Classic Clear Matcha Uji Okumidori,3,,,,
,HBC01M05C,Classic Clear Matcha Kagoshima Hikari,,,,,
,HBC01M01C,Classic Clear Matcha Kagoshima Asanoka,8,,1,,
,HBC01M09C,Classic Clear Matcha Organic Yabukita,,,,,
,HBC01M02C,Classic Clear Matcha Kagoshima Shinju,,,,,
,HBC01M31C,Classic Clear Matcha Kagoshima Loishi,,,,1,
,HBC01M10C,Classic Clear Matcha Yame Saemidori,6,2,3,,
,HBC01M06C,Classic Clear Matcha Yame Okumidori,,,,,
,HBC01M26C,Classic Clear Matcha Kagoshima Okumidori,,,,1,
,HBC01M16C,Classic Clear Matcha Yame Saeakari,,,,,
,HBC01M12C,Classic Clear Matcha Yame First Harvest,,,,,
,HBC01M32C,Classic Clear Matcha Kagoshima Saemidori Baisen,,,,,
,HBC01M33C,Classic Clear Matcha Kagoshima Kanayamidori Baisen,,,,,
,HBC01M40C,Classic Clear Matcha O-Matcha Sou,,,2,,
,HBC01M42C,Classic Clear Matcha Fuji Yabukita Second Flush,,,,,
,HBC01M19C,Classic Clear Matcha Hibi Tsuchi Blend,,,,,
,HBC01M20C,Classic Clear Matcha Hibi Kumo Blend,,,,,
,HBC01M21C,Classic Clear Matcha Hibi Sayaka,,,,,
,HBC01M22C,Classic Clear Matcha Hibi Shizuku,,,,,
,HBC01M23C,Classic Clear Matcha Hibi Noko,,,,,
,HBC01M04L,Classic Matcha Latte Uji Samidori,,,,,
,HBC01M06L,Classic Matcha Latte Uji Okumidori,1,,,,
,HBC01M26L,Classic Matcha Latte Kagoshima Okumidori ,2,,,,
,HBC01M07L,Classic Matcha Latte Mie Matcha Seian,,,,,
,HBC01M10L,Classic Matcha Latte Yame Saemidori,3,,1,,
,HBC01M11L,Classic Matcha Latte Yame Okumidori,1,,1,4,
,HBC01M01L,Classic Matcha Latte Kagoshima Asanoka,1,2,,,
,HBC01M30L,Classic Matcha Latte Kagoshima Loishi,,,2,,
,HBC01M17L,Classic Matcha Latte Yame Fukamushi,,,,,
,HBC01M31L,Classic Matcha Latte Kagoshima Hiri,1,,,,
,HBC01M15L,Classic Matcha Latte Yame Hojun,,15,4,3,
,HBC01M32L,Classic Matcha Latte Kagoshima Saemidori Baisen,,,,,
,HBC01M33L,Classic Matcha Latte Kagoshima Kanayamidori Baisen,,,,,
,HBC01M34L,Classic Matcha Latte Kagoshima Okumidori Baisen,,,,,
,HBC01M42L,Classic Matcha Latte Fuji Yabukita Second Flush,,,,,
,HBC01M41L,Classic Matcha Latte Kakegawa-san Fukamushi-cha Powder Tsubaski,,,,,
,HBC01M40L,Classic Matcha Latte O-Matcha Sou,,,,,
,HBC01M19L,Classic Matcha Latte Hibi Tsuchi Blend,,,,,
,HBC01M20L,Classic Matcha Latte Hibi Kumo Blend,,,,,
Hojicha,HBC02H02C,Classic Clear Hojicha Kokoro ,,1,1,,
,HBC02H01C,Classic Clear Hojicha Kaori,,,,,
,HBC02H04C,Classic Clear Kōbashii Hōjicha,,,,,
,HBC02H05C,Classic Clear Shizuoka Maple Fumi Hojicha Powder,,,,,
,HBC02H06C,Classic Clear Hojicha Shinbai,,,,,
,HBC02H02L,Classic Hojicha Latte Kokoro ,6,,,1,
,HBC02H01L,Classic Hojicha Latte Kaori,,,,,
,HBC02H04L,Classic Hojicha Latte Kōbashii Hōjicha,,,,,
,HBC02H05L,Classic Hojicha Latte Shizuoka Maple Fumi Hojicha Powder,,,,,
,HBC02H06L,Classic Hojicha Latte Hojicha Shinbai,,,,,
Genmaicha,HBC03G01C,Classic Clear Genmaicha,,,,1,
,HBC03G01L,Classic Genmaicha Latte,,,,,
"Matcha Refreshers เครื่องดื่มสดชื่น







",HBR01M21C/HBR01M23C,Clear Matcha,,6,12,10,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR01M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR01M21C"
,HBR02M21C/HBR02M23C,Matcha Honey Lemon (Home Made),1,4,10,2,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR02M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR02M21C"
,HBR03M21C/HBR03M23C,Matcha Honey Lime (Home Made),,,,3,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR03M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR03M21C"
